url,dir,name,lyrname,lyrnum,reclass,reference
https://data.source.coop/scar/distant/hindell_et_al-2020/Hi2023-Pygoscelis_adeliae_cog.tif,Hi2023_Pygoscelis_adeliae,"Adélie penguin, habitat importance",NA,1,none,"Hindell MA, Reisinger RR, Ropert-Coudert Y, et al. (2020) Tracking of marine predators to protect Southern Ocean ecosystems. Nature. 10.1038/s41586-020-2126-y"
https://data.source.coop/scar/distant/freer_et_al-2019/Fr2019-Krefftichthys_anderssoni_cog.tif,Fr2019_Krefftichthys_anderssoni,"Andersson's lanternfish, habitat suitability",NA,1,none,"Freer JJ, Tarling GA, Collins MA, Partridge JC, Genner MJ (2019) Predicting future distributions of lanternfish, a significant ecological resource within the Southern Ocean. Diversity and Distributions. 10.1111/ddi.12934"
https://data.source.coop/scar/distant/xavier_et_al-2016/Xa2016-Gonatus_antarcticus_cog.tif,Xa2016_Gonatus_antarcticus,"Antarctic armhook squid, habitat importance",NA,1,none,"Xavier JC, Raymond B, Jones DC, Griffiths H (2016) Biogeography of cephalopods in the Southern Ocean using habitat suitability prediction models. Ecosystems. 10.1007/s10021-015-9926-1"
https://data.source.coop/scar/distant/hindell_et_al-2020/Hi2023-Arctocephalus_gazella_cog.tif,Hi2023_Arctocephalus_gazella,"Antarctic fur seal, habitat importance",NA,1,none,"Hindell MA, Reisinger RR, Ropert-Coudert Y, et al. (2020) Tracking of marine predators to protect Southern Ocean ecosystems. Nature. 10.1038/s41586-020-2126-y"
https://data.source.coop/scar/distant/green_et_al-2021/Gr2021-spawning_habitat_duration_cog.tif,Gr2021_Spawning_habitat_duration,"Antarctic krill, spawning habitat duration",NA,1,none,"Green DB, Bestley S, Corney SP, Trebilco R, Lehodey P, Hindell MA (2021) Modeling Antarctic krill circumpolar spawning habitat quality to identify regions with potential to support high larval production. Geophysical Research Letters. 10.1029/2020GL091206"
https://data.source.coop/scar/distant/green_et_al-2021/Gr2021-spawning_habitat_index_cog.tif,Gr2021_Spawning_habitat_index,"Antarctic krill, summer spawning habitat index",spawning_habitat_index_summer,1,none,"Green DB, Bestley S, Corney SP, Trebilco R, Lehodey P, Hindell MA (2021) Modeling Antarctic krill circumpolar spawning habitat quality to identify regions with potential to support high larval production. Geophysical Research Letters. 10.1029/2020GL091206"
https://data.source.coop/scar/distant/freer_et_al-2019/Fr2019-Electrona_antarctica-RCP45-2055_cog.tif,Fr2019_Electrona_antarctica_RCP45_2055,"Antarctic lanternfish, 2055 projections RCP45",habitat_suitability_-mpi,5,none,"Freer JJ, Tarling GA, Collins MA, Partridge JC, Genner MJ (2019) Predicting future distributions of lanternfish, a significant ecological resource within the Southern Ocean. Diversity and Distributions. 10.1111/ddi.12934"
https://data.source.coop/scar/distant/freer_et_al-2019/Fr2019-Electrona_antarctica-RCP85-2055_cog.tif,Fr2019_Electrona_antarctica_RCP85_2055,"Antarctic lanternfish, 2055 projections RCP85",habitat_suitability_-mpi,8,none,"Freer JJ, Tarling GA, Collins MA, Partridge JC, Genner MJ (2019) Predicting future distributions of lanternfish, a significant ecological resource within the Southern Ocean. Diversity and Distributions. 10.1111/ddi.12934"
https://data.source.coop/scar/distant/freer_et_al-2019/Fr2019-Electrona_antarctica-RCP45-2099_cog.tif,Fr2019_Electrona_antarctica_RCP45_2099,"Antarctic lanternfish, 2099 projections RCP45",habitat_suitability_-mpi,5,none,"Freer JJ, Tarling GA, Collins MA, Partridge JC, Genner MJ (2019) Predicting future distributions of lanternfish, a significant ecological resource within the Southern Ocean. Diversity and Distributions. 10.1111/ddi.12934"
https://data.source.coop/scar/distant/freer_et_al-2019/Fr2019-Electrona_antarctica-RCP85-2099_cog.tif,Fr2019_Electrona_antarctica_RCP85_2099,"Antarctic lanternfish, 2099 projections RCP85",habitat_suitability_-mpi,8,none,"Freer JJ, Tarling GA, Collins MA, Partridge JC, Genner MJ (2019) Predicting future distributions of lanternfish, a significant ecological resource within the Southern Ocean. Diversity and Distributions. 10.1111/ddi.12934"
https://data.source.coop/scar/distant/woods_et_al-2023/Wo2023-Electrona_antarctica_day_cog.tif,Wo2023_Electrona_antarctica_day,"Antarctic lanternfish, daytime individuals per 1000 cubic meter",NA,1,none,"Woods BL, Van de Putte AP, Hindell MA, Raymond B, Saunders RA, Walters A, Trebilco R (2023) Species distribution models describe spatial variability in mesopelagic fish abundance in the Southern Ocean. Frontiers in Marine Science. 10.3389/fmars.2022.981434"
https://data.source.coop/scar/distant/woods_et_al-2023/Wo2023-Electrona_antarctica_night_cog.tif,Wo2023_Electrona_antarctica_night,"Antarctic lanternfish, nighttime individuals per 1000 cubic meter",NA,1,none,"Woods BL, Van de Putte AP, Hindell MA, Raymond B, Saunders RA, Walters A, Trebilco R (2023) Species distribution models describe spatial variability in mesopelagic fish abundance in the Southern Ocean. Frontiers in Marine Science. 10.3389/fmars.2022.981434"
https://data.source.coop/scar/distant/freer_et_al-2019/Fr2019-Electrona_antarctica_cog.tif,Fr2019_Electrona_antarctica,"Antarctic lanternfish, habitat suitability",NA,1,none,"Freer JJ, Tarling GA, Collins MA, Partridge JC, Genner MJ (2019) Predicting future distributions of lanternfish, a significant ecological resource within the Southern Ocean. Diversity and Distributions. 10.1111/ddi.12934"
https://data.source.coop/scar/distant/freer_et_al-2019/Fr2019-Electrona_carlsbergi_cog.tif,Fr2019_Electrona_carlsbergi,"Electron subantarctic lanternfish, habitat suitability",NA,1,none,"Freer JJ, Tarling GA, Collins MA, Partridge JC, Genner MJ (2019) Predicting future distributions of lanternfish, a significant ecological resource within the Southern Ocean. Diversity and Distributions. 10.1111/ddi.12934"
https://data.source.coop/scar/distant/hindell_et_al-2020/Hi2023-Thalassoica_antarctica_cog.tif,Hi2023_Thalassoica_antarctica,"Antarctic petrel, habitat importance",NA,1,none,"Hindell MA, Reisinger RR, Ropert-Coudert Y, et al. (2020) Tracking of marine predators to protect Southern Ocean ecosystems. Nature. 10.1038/s41586-020-2126-y"
https://data.source.coop/scar/distant/xavier_et_al-2016/Xa2016-Alluroteuthis_antarcticus_cog.tif,Xa2016_Alluroteuthis_antarcticus,"Antarctic squid, habitat importance",NA,1,none,"Xavier JC, Raymond B, Jones DC, Griffiths H (2016) Biogeography of cephalopods in the Southern Ocean using habitat suitability prediction models. Ecosystems. 10.1007/s10021-015-9926-1"
https://data.source.coop/scar/distant/hindell_et_al-2020/Hi2023-aes_colony_weighted_cog.tif,Hi2023_AES_colony_weighted,"Areas of significance to multiple predators species, with results weighted by colony sizes",NA,1,none,"Hindell MA, Reisinger RR, Ropert-Coudert Y, et al. (2020) Tracking of marine predators to protect Southern Ocean ecosystems. Nature. 10.1038/s41586-020-2126-y"
https://data.source.coop/scar/distant/xavier_et_al-2016/Xa2016-Histioteuthis_atlantica_cog.tif,Xa2016_Histioteuthis_atlantica,"Atlantic hooked squid, habitat importance",NA,1,none,"Xavier JC, Raymond B, Jones DC, Griffiths H (2016) Biogeography of cephalopods in the Southern Ocean using habitat suitability prediction models. Ecosystems. 10.1007/s10021-015-9926-1"
https://data.source.coop/scar/distant/woods_et_al-2023/Wo2023-Bathylagus_sp_day_cog.tif,Wo2023_Bathylagus_sp_day,"Bathylagid, daytime individuals per 1000 cubic meter",NA,1,none,"Woods BL, Van de Putte AP, Hindell MA, Raymond B, Saunders RA, Walters A, Trebilco R (2023) Species distribution models describe spatial variability in mesopelagic fish abundance in the Southern Ocean. Frontiers in Marine Science. 10.3389/fmars.2022.981434"
https://data.source.coop/scar/distant/woods_et_al-2023/Wo2023-Bathylagus_sp_night_cog.tif,Wo2023_Bathylagus_sp_night,"Bathylagid, nighttime individuals per 1000 cubic meter",NA,1,none,"Woods BL, Van de Putte AP, Hindell MA, Raymond B, Saunders RA, Walters A, Trebilco R (2023) Species distribution models describe spatial variability in mesopelagic fish abundance in the Southern Ocean. Frontiers in Marine Science. 10.3389/fmars.2022.981434"
https://data.source.coop/scar/distant/hindell_et_al-2020/Hi2023-Thalassarche_melanophris_cog.tif,Hi2023_Thalassarche_melanophris,"Black-browed albatross, habitat importance",NA,1,none,"Hindell MA, Reisinger RR, Ropert-Coudert Y, et al. (2020) Tracking of marine predators to protect Southern Ocean ecosystems. Nature. 10.1038/s41586-020-2126-y"
