Parameter,ParamName,FullName,Category,Habitat,Community,Fisheries_FoodProvision,NaturalProducts_Krill,IconicSpecies_Conservation,SpecialPlaces_Protection,Tourism_Recreation,CleanWater_NutrientCycling,SpeciesDiversity_FoodWeb,HabitatIntegrity,CarbonStorage_Cycling,Goal,ServiceCategory
eDNA,eDNA_WaterCol_AllBiota,"eDNA
Water column
All biota",Biological,Water column,All biota,7,8,8,7,5,6,9,8,4,SpeciesDiversity_FoodWeb,Supporting
eDNA,eDNA_UIW_AllBiota,"eDNA
UIW
All biota",Biological,UIW,All biota,7,9,8,7,5,6,9,8,4,NaturalProducts_Krill,Provisioning
eDNA,eDNA_SeaIce_AllBiota,"eDNA
Sea ice
All biota",Biological,Sea ice,All biota,6,9,7,7,4,6,9,8,4,NaturalProducts_Krill,Provisioning
"Invertebrate C,N,SI, biomarkers",Invertebrate_CNSI_biomark_WaterCol_Metazoa,"Invertebrate C,N,SI, biomarkers
Water column
Metazoans",Biological,Water column,Metazoans,8,9,7,6,4,8,9,7,7,NaturalProducts_Krill,Provisioning
"Invertebrate C,N,SI, biomarkers",Invertebrate_CNSI_biomark_UIW_Metazoa,"Invertebrate C,N,SI, biomarkers
UIW
Metazoans",Biological,UIW,Metazoans,7,9,7,6,4,8,9,7,7,NaturalProducts_Krill,Provisioning
"Invertebrate C,N,SI, biomarkers",Invertebrate_CNSI_biomark_Seafloor_Metazoa,"Invertebrate C,N,SI, biomarkers
Seafloor
Metazoans",Biological,Seafloor,Metazoans,7,7,6,7,3,8,8,8,7,CleanWater_NutrientCycling,Supporting
Net community production,Net_community_Prod_WaterCol,"Net community production
Water column",BGC,Water column,,6,8,6,7,4,9,8,8,9,CarbonStorage_Cycling,Regulating
DMS(P),DMSP_WaterCol,"DMS(P)
Water column",BGC,Water column,,3,5,4,6,3,7,6,7,8,CarbonStorage_Cycling,Regulating
DMS(P),DMSP_SeaIce,"DMS(P)
Sea ice",BGC,Sea ice,,3,6,4,6,3,7,6,7,8,CarbonStorage_Cycling,Regulating
DMS(P),DMSP_UIW,"DMS(P)
UIW",BGC,UIW,,3,6,4,6,3,7,6,7,8,CarbonStorage_Cycling,Regulating
Dissolved organic carbon,Dissolved_organic_carbon_SeaIce,"Dissolved organic carbon
Sea ice",BGC,Sea ice,,4,7,5,6,3,9,7,7,9,CarbonStorage_Cycling,Regulating
Dissolved organic carbon,Dissolved_organic_carbon_UIW,"Dissolved organic carbon
UIW",BGC,UIW,,4,7,5,6,3,9,7,7,9,CarbonStorage_Cycling,Regulating
delta18O,delta18O_SeaIce,"delta18O
Sea ice",BGC,Sea ice,,4,6,5,7,3,8,6,7,7,CleanWater_NutrientCycling,Supporting
delta18O,delta18O_UIW,"delta18O
UIW",BGC,UIW,,4,6,5,7,3,8,6,7,7,CleanWater_NutrientCycling,Supporting
delta18O,delta18O_WaterCol,"delta18O
Water column",BGC,Water column,,4,6,5,7,3,8,6,7,7,CleanWater_NutrientCycling,Supporting
Dissolved inorganic carbon / Total alkalinity,Dissolved_inorganic_carbon,Dissolved inorganic carbon / Total alkalinity,BGC,,,5,7,5,7,3,10,7,7,10,CarbonStorage_Cycling,Regulating
Reflected Shortwave,Reflected_Shortwave_Atmos,"Reflected Shortwave
atmosphere",Physical,atmosphere,,3,5,4,6,4,6,5,6,6,CarbonStorage_Cycling,Regulating
Incoming Shortwave,Incoming_Shortwave_Atmos,"Incoming Shortwave
atmosphere",Physical,atmosphere,,4,6,5,6,4,7,6,7,6,CleanWater_NutrientCycling,Supporting
Transmitted Shortwave,Transmitted_Shortwave_WaterCol,"Transmitted Shortwave
Water column",Physical,Water column,,5,7,6,6,4,7,7,7,7,NaturalProducts_Krill,Provisioning
Methane,Methane,Methane,BGC,,,2,3,3,5,2,7,5,6,8,CarbonStorage_Cycling,Regulating
Temperature,Temperature_WaterCol,"Temperature
Water column",Physical,Water column,,8,9,8,8,5,8,9,9,6,NaturalProducts_Krill,Provisioning
Salinity,Salinity_WaterCol,"Salinity
Water column",Physical,Water column,,7,9,7,7,5,8,8,8,7,NaturalProducts_Krill,Provisioning
Salinity,Salinity_SeaIce,"Salinity
Sea ice",Physical,Sea ice,,6,9,7,7,4,8,8,8,6,NaturalProducts_Krill,Provisioning
Salinity,Salinity_UIW,"Salinity
UIW",Physical,UIW,,7,9,7,7,4,8,8,8,7,NaturalProducts_Krill,Provisioning
Temperature,Temperature_SeaIce,"Temperature
Sea ice",Physical,Sea ice,,7,9,8,8,5,8,8,9,6,NaturalProducts_Krill,Provisioning
