"zone","year","yrwgtsum","nonNAarea","yrwgtmean","plot_with"
6,1998,734612.8967,404505.8324,1.816074919,"chlorophyllA"
6,1999,212393.3249,451840.3745,0.470062741,"chlorophyllA"
6,2000,360929.3858,836706.0367,0.431369406,"chlorophyllA"
6,2001,822065.7744,446484.528,1.841196554,"chlorophyllA"
6,2002,555239.7867,729888.8224,0.760718303,"chlorophyllA"
6,2003,325741.6015,297779.9779,1.093900281,"chlorophyllA"
6,2004,613442.6095,666613.767,0.920236935,"chlorophyllA"
6,2005,1056945.037,988805.2129,1.068911271,"chlorophyllA"
6,2006,638964.8249,857449.6765,0.745192216,"chlorophyllA"
6,2007,217080.4853,490291.1243,0.442758342,"chlorophyllA"
6,2008,268270.599,338953.1599,0.791468057,"chlorophyllA"
6,2009,286567.312,392310.1375,0.730461144,"chlorophyllA"
6,2010,416437.2706,614942.9771,0.677196563,"chlorophyllA"
6,2011,752505.5647,636611.0849,1.182049107,"chlorophyllA"
6,2012,1008922.912,421428.5175,2.394054674,"chlorophyllA"
6,2013,825639.6887,580987.4894,1.42109719,"chlorophyllA"
6,2014,167719.646,264570.2317,0.633932416,"chlorophyllA"
6,2015,133997.938,109964.097,1.2185608,"chlorophyllA"
6,2016,578981.4846,576603.3346,1.004124412,"chlorophyllA"
6,2017,540654.9554,966365.4496,0.559472563,"chlorophyllA"
6,2018,579884.6591,907523.3538,0.638974916,"chlorophyllA"
6,2019,528106.4616,1051795.009,0.502100178,"chlorophyllA"
6,2020,649943.7854,614287.6014,1.058044772,"chlorophyllA"
6,2021,1019090.293,590089.6602,1.727009236,"chlorophyllA"
6,2022,676403.4598,824114.3036,0.82076413,"chlorophyllA"
6,2023,1011122.294,1057940.626,0.955745785,"chlorophyllA"
6,2024,329662.3764,803008.1501,0.410534285,"chlorophyllA"
7,1998,1112787.428,2995892.383,0.371437717,"chlorophyllA"
7,1999,1326110.756,3598598.001,0.368507612,"chlorophyllA"
7,2000,1873247.333,4730257.412,0.396013825,"chlorophyllA"
